image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429,t430,t431,t432,t433,t434,t435,t436,t437,t438,t439,t440,t441,t442,t443,t444,t445,t446,t447,t448,t449,t450,t451,t452,t453,t454,t455,t456,t457,t458,t459,t460,t461
FS/11.png,e,0.3109495998360216,-16.0,-4.0,3.802869,3.7999732,3.8207843,3.8728669,3.8690908,3.8591127,3.8862996,3.8654442,3.8401306,3.85737,3.8434691,3.8486722,3.859383,3.8094804,3.836959,3.8694484,3.8440826,3.8041391,3.8202362,3.8376338,3.8414526,3.8343992,3.8729198,3.817333,3.7934568,3.8104563,3.825611,3.8032238,3.7799554,3.795776,3.8132489,3.7510674,3.785827,3.767243,3.7750413,3.7693307,3.7901907,3.7498,3.7488348,3.7816226,3.756469,3.7537985,3.7446349,3.7239578,3.698414,3.7658923,3.7393563,3.7284918,3.7364483,3.777669,3.7448716,3.7238984,3.750427,3.7383745,3.7434804,3.692519,3.6739352,3.7197974,3.7415476,3.7324796,3.6927376,3.6548684,3.7092745,3.682296,3.6555607,3.689258,3.661595,3.658239,3.6365705,3.6214383,3.6060393,3.5759983,3.6086936,3.612012,3.6069481,3.600354,3.6067035,3.5606606,3.5394106,3.5481372,3.593349,3.5528018,3.547497,3.5797968,3.539782,3.5797794,3.5415921,3.528588,3.5439768,3.4972563,3.519791,3.5088696,3.4821997,3.5299785,3.5321312,3.4813802,3.4961183,3.49436,3.5184512,3.5107777,3.4945717,3.4738789,3.4694753,3.4722407,3.4804556,3.4807205,3.4721818,3.4869528,3.4504397,3.4371424,3.4205108,3.48779,3.4475396,3.4498878,3.4633498,3.504421,3.5111034,3.484025,3.5669475,3.523197,3.5418499,3.5431561,3.4973047,3.5191164,3.5092583,3.5589898,3.5555236,3.5619721,3.5502155,3.5239155,3.50644,3.5704885,3.5661623,3.5616233,3.6113055,3.5737119,3.5689354,3.537652,3.5479057,3.5839503,3.5528462,3.5854955,3.5530403,3.552028,3.5562341,3.552233,3.5499654,3.5303986,3.4984512,3.571121,3.5417645,3.5611658,3.5844944,3.536946,3.6057065,3.5747128,3.5589843,3.6024935,3.597701,3.6800976,3.6468642,3.6006823,3.636514,3.65475,3.6312513,3.6639028,3.642916,3.6433835,3.6554885,3.6974573,3.706575,3.6831124,3.6755455,3.6904953,3.6750066,3.6914732,3.7192297,3.6831782,3.6903753,3.740447,3.6770787,3.6905699,3.7364407,3.716714,3.736211,3.7674913,3.72891,3.7475595,3.7134204,3.721484,3.6893852,3.7284427,3.7259274,3.7648454,3.7310894,3.7397141,3.7419455,3.7523074,3.7808018,3.7816513,3.800214,3.8114505,3.8000684,3.7737617,3.7866273,3.7601056,3.7767138,3.817741,3.7782333,3.8409734,3.7872,3.8518286,3.8503551,3.848563,3.8312109,3.8303359,3.8164947,3.8004797,3.8342772,3.843897,3.8016322,3.8290613,3.81304,3.8422663,3.8143213,3.832421,3.816491,3.8257947,3.820929,3.8163724,3.801707,3.8243377,3.7987833,3.7640605,3.8288689,3.7998261,3.7528455,3.797143,3.794347,3.789022,3.7683082,3.7776654,3.7916908,3.8222697,3.751094,3.7910233,3.7956688,3.7573354,3.7608683,3.7813,3.7812397,3.7592027,3.725728,3.7919395,3.7809277,3.7561178,3.7522483,3.752492,3.760973,3.7532089,3.7332284,3.6979203,3.7110147,3.7288344,3.7160342,3.7383113,3.7652674,3.7704172,3.728061,3.717059,3.75189,3.7653608,3.747219,3.7611349,3.7346723,3.7192688,3.7022338,3.7363055,3.70343,3.753059,3.7759912,3.7050874,3.7287514,3.7543588,3.7520616,3.7744553,3.750387,3.7653286,3.7816715,3.77171,3.7852278,3.7484436,3.794419,3.774041,3.8082564,3.8036659,3.798957,3.8051634,3.8126657,3.8239982,3.839645,3.8290544,3.8088186,3.8045354,3.8169591,3.8330982,3.8217247,3.8410435,3.8310661,3.8272786,3.8456686,3.8620894,3.8452263,3.8184357,3.897669,3.8284729,3.8670173,3.8308396,3.8909845,3.8780432,3.8486795,3.887042,3.8696983,3.8568063,3.865504,3.874565,3.8568213,3.872376,3.8662643,3.852984,3.8624134,3.8723605,3.8589315,3.8353136,3.8463914,3.8574436,3.8756135,3.856955,3.8938935,3.8526816,3.8793538,3.8870466,3.8845034,3.9001398,3.8490112,3.8930342,3.8897533,3.8750603,3.8576035,3.897657,3.8867161,3.9137995,3.860225,3.8948228,3.8791242,3.8931541,3.8973846,3.8861804,3.911891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/251.png,e,0.1474101999774575,16.0,-4.0,3.196215,3.278974,3.26276,3.262173,3.2247818,3.2725322,3.2589524,3.271901,3.2870405,3.2948396,3.2798023,3.274449,3.3151133,3.2668319,3.31388,3.293045,3.3310623,3.3001697,3.323248,3.3487692,3.2983692,3.3153098,3.3074574,3.3272877,3.2777526,3.3192124,3.3483627,3.3506517,3.316978,3.3061066,3.2988048,3.3233707,3.29785,3.309805,3.2900562,3.3228283,3.3179672,3.3190806,3.3238525,3.3166034,3.2562437,3.2871044,3.289329,3.2845948,3.302292,3.288566,3.341028,3.2829041,3.2364178,3.2983902,3.2317886,3.2947154,3.2554464,3.247742,3.24721,3.2618363,3.234221,3.2605648,3.2644603,3.2301607,3.2698417,3.2094407,3.2462888,3.2732332,3.2687945,3.2895815,3.178849,3.2105124,3.2110248,3.2183104,3.1696525,3.1557267,3.1803873,3.2133284,3.2000582,3.1768003,3.1910243,3.1106532,3.152447,3.1244044,3.1759634,3.1382904,3.1887386,3.1261945,3.1040301,3.150548,3.1205459,3.1190138,3.1164815,3.1273668,3.1277893,3.1353164,3.1408212,3.109963,3.059797,3.1210382,3.1296594,3.1201222,3.1383843,3.1126308,3.1037838,3.1002004,3.1055992,3.1331377,3.0777862,3.117568,3.0797918,3.0710611,3.1086097,3.11173,3.1441758,3.0548592,3.116964,3.0977585,3.1146722,3.1241953,3.130903,3.118143,3.0768237,3.082668,3.121318,3.1124556,3.0526848,3.102923,3.156298,3.1141171,3.120317,3.1052957,3.1110134,3.1367188,3.1117063,3.1325185,3.0632644,3.1083736,3.1106844,3.1302416,3.101163,3.1355064,3.0867095,3.1198936,3.1420548,3.120448,3.089926,3.115722,3.0504975,3.0995336,3.0665202,3.091714,3.114573,3.1191533,3.0583997,3.0868666,3.109623,3.0955322,3.1177077,3.089012,3.075542,3.1185725,3.0560453,3.0650055,3.0773046,3.0583599,3.0523791,3.0465198,3.0740256,3.0645463,3.0314016,2.987559,3.0597675,3.0400434,3.0498962,2.9566765,3.0180795,3.0662365,2.9683807,3.0117917,2.9809856,2.98804,3.0168664,2.9866712,3.0429523,3.015488,3.013892,3.0005755,3.0203154,2.995864,3.0219066,3.0254974,3.0106668,3.0290408,3.0364516,3.0486732,3.0346887,2.989045,2.9942703,3.003943,3.0027585,2.9469297,3.011735,3.0333138,3.0399907,3.0385604,3.0492713,3.0250013,3.055045,3.055151,3.0836139,3.013975,3.082505,3.070001,3.0500815,3.0142732,3.077277,3.036625,3.0646465,3.1235895,3.0711105,3.1263053,3.1116242,3.0840137,3.095882,3.1055453,3.132508,3.1278203,3.0993373,3.1255856,3.1401384,3.1092362,3.1370363,3.1031036,3.1528437,3.089166,3.1820438,3.1574194,3.153353,3.1320775,3.144603,3.1770763,3.1237564,3.1487014,3.1616743,3.1376715,3.1576495,3.1296563,3.0923374,3.0919356,3.098381,3.0929205,3.1054797,3.0935702,3.0719128,3.0613534,3.0571377,3.1138396,3.0219538,3.0870283,3.1140866,3.063614,3.0373194,3.080402,3.0945125,3.069127,3.1192443,3.071637,3.1023118,3.0688274,3.0266364,3.093769,3.0926938,3.064536,3.0833783,3.1148086,3.1201367,3.100194,3.056676,3.0531025,3.079384,3.1154332,3.1197472,3.1174204,3.0880187,3.098175,3.3057907,3.0391037,1.5621082,3.1657107,3.2281024,3.1921425,3.1636274,3.1462855,3.20114,3.2043512,3.223893,3.1894977,3.228572,3.187372,3.235454,3.194154,3.1839404,3.2165644,3.2737494,3.2154946,3.1765454,3.199906,3.221357,3.1985679,3.2223883,3.2819905,3.237601,3.259191,3.2524526,3.2280498,3.249176,3.2217202,3.3101113,3.2546217,3.2672887,3.2656617,3.2944593,3.331673,3.3074746,3.3182082,3.2910895,3.2557964,3.2879999,3.3137574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/581.png,e,0.0160254999063909,4.0,0.0,2.8969944,2.9112518,2.8534403,2.8575358,2.928919,2.8850663,2.843079,2.8666198,2.8682485,2.8660438,2.8550391,2.8429105,2.8586004,2.881057,2.7816727,2.8678331,2.8109336,2.817332,2.8455517,2.831768,2.7615817,2.7711656,2.786039,2.8004935,2.7975206,2.7703831,2.753367,2.7727985,2.7538657,2.7331572,2.778999,2.6865568,2.7501578,2.7309391,2.674334,2.703347,2.6834848,2.704043,2.6752164,2.6618664,2.6733637,2.67835,2.686179,2.6522353,2.6591034,2.6632736,2.656011,2.5970967,2.6388366,2.678611,2.652733,2.600079,2.6352434,2.5650823,2.6160858,2.6145077,2.6145577,2.620184,2.6163843,2.6019654,2.5864067,2.6480215,2.5687282,2.5726871,2.583234,2.5806403,2.5786924,2.6056058,2.6172528,2.5915887,2.5560539,2.6192176,2.5689473,2.5699184,2.615703,2.5810943,2.5567164,2.5737202,2.5757854,2.5875993,2.6094406,2.6106014,2.6187723,2.552331,2.573961,2.5894,2.5438044,2.546569,2.5958762,2.5948539,2.6203017,2.5443594,2.5648644,2.5454721,2.5144992,2.5767834,2.6063,2.5417345,2.5601423,2.549305,2.6129956,2.5874941,2.571258,2.5874956,2.597959,2.628007,2.5712173,2.600682,2.5548012,2.5994978,2.5884445,2.5807896,2.6129491,2.5367756,2.5674028,2.6111364,2.6343718,2.591477,2.6012278,2.5724208,2.6024976,2.6068149,2.6234858,2.617587,2.6278324,2.6307907,2.647133,2.5941837,2.6303291,2.5920167,2.5830832,2.6349483,2.6431043,2.6033397,2.6563058,2.623156,2.6052887,2.6472762,2.649635,2.6197922,2.5847886,2.6358926,2.6400115,2.6972904,2.697098,2.7095947,2.6505291,2.6782515,2.6441045,2.625424,2.6538572,2.7118711,2.6561356,2.6701062,2.6284382,2.7109575,2.651827,2.619846,2.6424687,2.6553648,2.6915824,2.7094634,2.664559,2.6983452,2.6327066,2.6840575,2.610677,2.7235048,2.655779,2.6436315,2.651589,2.7056658,2.6927593,2.677823,2.7209394,2.6853456,2.731701,2.7193785,2.663199,2.6869404,2.7386177,2.7593489,2.709492,2.74221,2.6919172,2.7351782,2.7671726,2.7308688,2.7363508,2.7361155,2.755988,2.8117802,2.7716572,2.7865856,2.7946565,2.784276,2.7820592,2.8042157,2.7964041,2.78324,2.8350039,2.7967398,2.825215,2.8401868,2.859648,2.8203995,2.8120909,2.7652671,2.7974744,2.89453,2.9035485,2.9154997,2.889691,2.8960786,2.928177,2.8783867,2.9567173,2.887555,2.8968232,2.9489102,2.9001274,2.9648187,2.9753437,2.946624,2.9746697,2.9414062,2.9337406,2.9628127,2.9410977,2.962491,2.9428942,2.9770508,2.9804935,3.0166807,2.9648461,2.9734833,2.9444602,2.9948723,2.9943438,2.9347777,2.9457462,2.9763231,2.9204059,2.941404,2.9813437,2.9675102,2.9168637,2.980921,2.9841406,2.9923956,2.9753911,3.012748,2.9837692,2.9800124,2.9478362,2.9542546,2.999581,2.9393938,2.9794116,2.9824958,2.9509118,2.9034803,3.1326177,3.016876,2.9415157,2.9684987,2.9714105,2.9605236,3.0172946,2.86855,3.0595186,3.0387015,3.0353136,2.9806151,2.9756534,3.0670974,2.9558532,2.9286323,2.9524043,2.9461973,2.9530585,2.992048,2.9770448,2.9946856,2.9803166,2.988818,3.0120687,2.9577975,2.9425714,2.9815376,3.0114446,3.029774,3.0253322,3.0469587,3.032921,3.0370188,2.9971268,3.1139808,3.0307982,3.036555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
