image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429
FS/202.png,e,0.6269096000032732,-4.0,-16.0,4.106935,4.1355076,4.185322,4.189569,4.177022,4.1477056,4.1374507,4.2107735,4.181989,4.1932673,4.1822505,4.1580796,4.2341733,4.2024126,4.2289085,4.16547,4.205043,4.1758466,4.230984,4.2343807,4.2130365,4.192637,4.2391515,4.191652,4.219018,4.168525,4.145847,4.253774,4.1958175,4.2203684,4.2326593,4.282786,4.2358446,4.2444835,4.226367,4.181654,4.229502,4.2020187,4.258249,4.223291,4.2290807,4.265989,4.243749,4.283123,4.278384,4.255372,4.226033,4.2373548,4.2170672,4.190018,4.2766714,4.2327976,4.1939254,4.242058,4.1801243,4.1826234,4.1810093,4.213994,4.195305,4.178399,4.181334,4.2011747,4.1665363,4.178169,4.1350837,4.10749,4.0848494,4.0900326,4.015147,4.076444,4.0487895,4.0283504,4.0757127,4.040499,4.0029984,4.02196,4.0208473,4.04576,3.9783995,4.036342,3.9846337,3.992228,3.9574547,3.9390757,3.962014,3.9675295,3.9490125,3.887806,3.9434214,3.9781063,3.9233806,3.9313488,3.9352298,3.9098852,3.8796341,3.9570909,3.9007182,3.9126496,3.9226987,3.9379375,3.9230723,3.9220936,3.890689,3.9190576,3.9403574,3.8582454,3.9422407,3.917923,3.8918593,3.8799644,3.9117541,3.8393774,3.9190288,3.8984048,3.9137187,3.9009104,3.917523,3.8544142,3.9034157,3.8912952,3.9485588,3.881597,3.8960893,3.8861055,3.9596288,3.8775837,3.8610876,3.902908,3.9016511,3.8513687,3.8924072,3.8742151,3.8897545,3.8235161,3.8579428,3.8225203,3.8935893,3.8366466,3.8020527,3.871332,3.8370733,3.8415682,3.9063911,3.8532228,3.8643188,3.8006058,3.8270435,3.7820609,3.771271,3.7974415,3.8064158,3.7270966,3.7806282,3.7050693,3.6939375,3.6977835,3.7339158,3.725974,3.7214062,3.7147262,3.645888,3.6718118,3.6733468,3.7151687,3.675234,3.6844392,3.6933339,3.653794,3.6637666,3.631735,3.687239,3.6131673,3.6209562,3.623783,3.6070352,3.6251886,3.5834932,3.595608,3.6005795,3.5482392,3.6217074,3.6367867,3.577736,3.626309,3.545531,3.6206691,3.5458186,3.5845075,3.6069405,3.5398507,3.5619662,3.614057,3.6125224,3.573917,3.5310802,3.5220919,3.5441117,3.5259056,3.5024052,3.5570486,3.5173078,3.5757506,3.511241,3.530846,3.5676994,3.5170686,3.5328283,3.488081,3.4660323,3.4736116,3.4774084,3.4732738,3.473426,3.5406544,3.4706357,3.4971442,3.485997,3.450779,3.5072734,3.524313,3.4283454,3.4454606,3.4326782,3.4498994,3.4331431,3.446597,3.4748137,3.4393141,3.41526,3.4601831,3.4963727,3.395299,3.4013977,3.4070656,3.4386427,3.3625581,3.39718,3.4029791,3.434275,3.385519,3.3593612,3.3611295,3.3784957,3.3292081,3.3783631,3.3462987,3.3222504,3.2722816,3.3720477,3.2968974,3.330418,3.2638025,3.307663,3.2893844,3.258285,3.2361465,3.301881,3.21043,3.3041031,3.250766,3.234361,3.2392213,3.2913215,3.2756767,3.2738414,3.2901573,3.2801266,3.234789,3.293324,3.1979578,3.250485,3.2319953,3.300443,3.3071065,3.3645585,3.328644,3.3699553,3.3375092,3.3247206,3.3152263,3.2978065,3.3612998,3.3357973,3.396994,3.3515756,3.4240608,3.3783023,3.337855,3.4127967,3.400529,3.403445,3.4851153,3.4352455,3.4775732,3.4316893,3.4802618,3.444055,3.4895253,3.5401044,3.4876246,3.4920008,3.522097,3.5477176,3.5055304,3.5665472,3.5149837,3.6019454,3.589128,3.5876553,3.5547326,3.5773501,3.606095,3.6574495,3.626198,3.6797464,3.6881454,3.677443,3.6796663,3.7174578,3.7563963,3.7562423,3.7223554,3.7643821,3.688093,3.7522144,3.756074,3.7669601,3.7675972,3.7864394,3.783542,3.8300955,3.8192613,3.790421,3.8304236,3.801468,3.8428187,3.8544023,3.7924347,3.8187592,3.8620112,3.7062957,3.7411313,3.8100457,3.7522755,3.837637,3.8309257,3.858583,3.8107634,3.820989,3.7544036,3.8076496,3.746805,3.8248541,3.9242072,3.8944829,3.8922594,3.9064574,3.8914638,3.8774273,3.8784544,3.9681332,3.9241128,3.9031506,3.884305,3.8999135,3.8982022,3.9514453,3.9315078,3.919162,3.9294693,3.9599602,3.8548174,3.8365033,3.8338282,3.9051018,3.961057,4.0373106,3.988993,4.014559,4.0181575,4.0066824,4.007869,4.012778,4.0683627,4.0046835,3.96091,4.032539,3.9951944,4.023723,4.029392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/232.png,e,0.6957357999999658,-16.0,4.0,4.183937,4.131683,4.1904335,4.150876,4.172726,4.178188,4.142656,4.1546235,4.161704,4.1623645,4.17046,4.202022,4.18994,4.18897,4.177585,4.1829987,4.150719,4.1389575,4.134986,4.156686,4.15899,4.14866,4.12716,4.1388907,4.081272,4.1278706,4.109552,4.1282763,4.131316,4.1094594,4.116786,4.1265006,4.1132274,4.129145,4.0905204,4.1129436,4.1133018,4.0977488,4.0862575,4.074926,4.0804834,4.081614,4.0762258,4.062677,4.043506,4.0638766,4.091708,4.094246,4.0736985,4.079481,4.0475717,4.0159616,4.0822754,4.047011,4.0268025,4.0145864,4.0364637,4.027823,4.0347557,3.9791172,4.0018396,4.041743,3.9854345,3.946209,3.9274344,3.9546163,3.980804,3.9191782,3.9038372,3.8833714,3.8913786,3.906907,3.893784,3.8920584,3.8725786,3.8680325,3.86893,3.7836196,3.81848,3.79024,3.7341585,3.731606,3.7652092,3.708967,3.6624405,3.680254,3.7259755,3.6601346,3.618308,3.6130798,3.6145167,3.6187127,3.5615983,3.5459986,3.5882843,3.5217772,3.475859,3.526329,3.4657283,3.4803827,3.5235069,3.462249,3.5026126,3.486269,3.4555233,3.4492896,3.5002604,3.455418,3.4302115,3.4005525,3.4126668,3.3876045,3.3585875,3.3438237,3.3745751,3.4070115,3.3493445,3.4355159,3.3949795,3.319639,3.3321235,3.3646417,3.3489752,3.3376324,3.3509035,3.3640845,3.3203502,3.3262982,3.3699548,3.3946884,3.373864,3.3395014,3.3343039,3.315235,3.3107064,3.299096,3.391105,3.3631392,3.318923,3.2889063,3.3440952,3.311956,3.3228183,3.300617,3.315435,3.287982,3.3438032,3.2657247,3.2714782,3.2418923,3.2477486,3.2101219,3.2202516,3.273398,3.206362,3.2477021,3.2482102,3.171732,3.246172,3.2003782,3.2471898,3.1599371,3.2703695,3.167353,3.1627562,3.1969018,3.172593,3.2381742,3.2060761,3.2141657,3.2353735,3.2285306,3.1622934,3.1954112,3.2217526,3.1389005,3.1860921,3.1870012,3.159242,3.1442978,3.1536198,3.1808789,3.1978722,3.165728,3.1626914,3.1599054,3.1614192,3.1418664,3.1666136,3.1864066,3.1028552,3.1907053,3.163796,3.1025968,3.1054602,3.1771302,3.2046552,3.1649497,3.1376424,3.0791266,3.116256,3.214899,3.147173,3.159786,3.1172807,3.0698364,3.0735886,3.0940864,3.1102443,3.1507933,3.0630586,3.0869129,3.09104,3.0686462,3.0635326,3.110538,3.0637932,3.0321183,3.0889568,3.050062,3.066042,3.0450642,3.051085,3.06013,3.047428,3.0445814,3.0926077,3.0489056,3.0672002,2.9995842,3.058229,3.0609262,2.9754527,2.9608037,3.014813,2.968747,3.0124362,2.939828,2.998196,2.9772956,2.9800117,2.9494998,3.038547,2.9724765,2.9869683,2.9286501,2.9207306,2.905034,2.9407392,2.9091237,2.9032989,2.928414,2.9242668,2.8978126,2.8715057,2.849771,2.8823173,2.8935418,2.9131558,2.9700089,2.9184453,2.8884678,2.8358712,2.8741107,2.902337,2.8595252,2.8709333,2.8806412,2.895482,2.9225147,2.8610592,2.9204316,2.901639,2.90342,2.8902705,2.9177659,2.8944266,2.9003863,2.9781842,2.9188867,2.9081523,2.8915079,2.960265,2.9595225,2.912907,2.9370048,2.9469895,2.9644372,2.8836327,2.9605482,2.9116054,2.9026005,2.9588351,3.038638,2.8957763,2.9599206,2.9954002,2.9672318,3.0169442,3.0064971,3.0262694,2.9980109,3.00847,3.0520241,3.0577428,3.0280907,2.9974308,3.027102,2.9884708,3.036834,2.961341,3.0692718,3.1181161,3.0685146,3.0928934,3.1877723,3.1441,2.9768264,3.013284,3.0935795,3.0962276,3.1315773,3.2443006,3.1803925,3.1512365,3.1973639,3.164698,3.2854238,3.2204235,3.4470258,3.5130832,3.104844,3.1905012,3.309882,3.3877273,3.4318988,3.2685838,3.2577536,3.2692297,3.343421,3.3255002,3.2869058,3.3135211,3.4108844,3.3355813,3.357357,3.3414352,3.3481202,3.3474069,3.372591,3.337825,3.4152076,3.3944187,3.3490467,3.3991694,3.4227407,3.403281,3.3201008,3.41233,3.3246753,3.3838384,3.3363178,3.3390648,3.400492,3.4402964,3.4601412,3.440155,3.4326446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/902.png,e,0.5554193000025407,-4.0,-16.0,3.9623754,3.9785252,3.9539132,3.9683006,3.9770021,3.985587,3.993675,4.0431542,3.9692862,4.0216784,4.0312133,4.0727077,4.005939,4.014065,3.9481764,4.076814,4.02498,4.0652776,3.9628963,4.025502,4.0564284,4.060207,4.050042,4.0254626,4.0051184,4.0516257,4.0349154,4.0662255,4.0436606,4.04634,4.073842,4.040056,3.9651089,4.043441,4.0774612,4.006156,4.031316,4.0811105,4.051541,4.0340633,4.0131965,4.0704875,4.0664816,4.0385027,4.0090976,4.088982,4.004231,4.004261,4.0259557,4.02624,3.9970324,4.0121245,3.9936397,4.0043106,4.039593,3.9833107,3.9939277,4.0123105,4.008939,4.0211496,3.9770687,3.9456942,3.9789536,3.996065,3.875494,3.8951752,3.9104252,3.859332,3.8920045,3.8197613,3.8682446,3.8272107,3.8803515,3.8508465,3.8625,3.8361814,3.8516521,3.8271456,3.817676,3.856111,3.800564,3.7556362,3.7515848,3.7583559,3.7350354,3.7366295,3.7653472,3.7644079,3.728918,3.7215428,3.800064,3.7490885,3.7038002,3.7408643,3.7831843,3.7449918,3.7563958,3.7249575,3.7893293,3.7729955,3.7632627,3.7520535,3.7471652,3.732354,3.776281,3.7343793,3.739754,3.7441063,3.7967424,3.8107905,3.7437773,3.7859397,3.7841072,3.7504892,3.7704906,3.8054485,3.7895248,3.739981,3.7840378,3.8100688,3.7643812,3.8227723,3.804542,3.7813385,3.757206,3.7662358,3.831859,3.777305,3.7953658,3.815226,3.7681618,3.7624269,3.7672021,3.8480158,3.7699533,3.7559502,3.81983,3.7720838,3.765787,3.78953,3.776667,3.7719324,3.76779,3.8443992,3.7793257,3.7930293,3.728771,3.788063,3.7709148,3.7965617,3.7606235,3.7766662,3.7634223,3.719648,3.7572396,3.7705724,3.7028837,3.7054691,3.726558,3.7170715,3.7181427,3.7451432,3.6780562,3.7250497,3.7066848,3.729368,3.6863487,3.6672986,3.6555243,3.662464,3.6855059,3.650228,3.5839746,3.6757846,3.7022474,3.6262248,3.6561983,3.7016306,3.7616801,3.7146754,3.6760354,3.7017756,3.691982,3.6736643,3.6882784,3.6695545,3.6874151,3.672776,3.7190542,3.7158232,3.675562,3.6932347,3.6963892,3.7174132,3.7179208,3.737594,3.7551887,3.74211,3.7924898,3.7753775,3.7936106,3.7486165,3.77309,3.8002546,3.8433356,3.7516348,3.7932162,3.824675,3.7889419,3.8437622,3.808047,3.7978172,3.8486793,3.8660674,3.9058206,3.866112,3.9461322,3.8682554,3.8921638,3.8966532,3.898453,3.871134,3.9111965,3.9643142,3.9349895,3.9225008,3.922105,4.006243,4.01001,4.005537,4.0151196,4.0075817,3.9838815,3.9624844,4.005406,3.966201,3.9509828,3.954595,4.011327,3.9488018,3.9474332,3.9074595,3.919385,3.8983319,3.9150455,3.882452,3.9267638,3.8839188,3.8398025,3.8210044,3.8124943,3.8105335,3.8139977,3.8054466,3.7378364,3.8130794,3.8033695,3.8214505,3.8264892,3.7898617,3.7574618,3.7994657,3.8235185,3.7687516,3.765219,3.8423584,3.7602642,3.7494698,3.7995636,3.7711794,3.773777,3.7797897,3.7884367,3.8231628,3.7971303,3.8632007,3.7942038,3.7900774,3.7315788,3.8292978,3.8452792,3.813144,3.8334284,3.7859972,3.8600585,3.8250492,3.8215709,3.8946328,3.8846254,3.8922064,3.854084,3.8898208,3.8525493,3.9467726,3.9501476,3.876364,3.9295702,3.9572504,3.9205604,3.9763706,3.944328,3.9716957,3.9572933,3.9716055,3.962644,3.9892647,3.9851432,3.9790146,4.043293,4.0214186,4.010024,4.070731,4.0937195,4.0960207,4.0748663,4.0410113,4.0917497,4.069304,4.0777254,4.141671,4.135224,4.042074,4.093886,4.153071,4.1238394,4.1809835,4.155781,4.144994,4.2369857,4.1929107,4.158076,4.1876063,4.203837,4.2124953,4.182621,4.222337,4.2943645,4.177122,4.2180986,4.2271547,4.2397647,4.265598,4.17734,4.278569,4.2129116,4.2628593,4.3016777,4.2890987,4.2484155,4.2991548,4.3058386,4.3058314,4.3018885,4.348063,4.278099,4.3001213,4.324798,4.3424025,4.3770103,4.3612146,4.3473134,4.372465,4.3836265,4.371153,4.4003415,4.3755693,4.41406,4.34691,4.396188,4.430226,4.3117733,4.4205074,4.3849397,4.3992248,4.421626,4.371927,4.4122467,4.4350867,4.3464217,4.4051986,4.409732,4.370244,4.431263,4.3867497,4.3932767,4.425899,4.392801,4.406093,4.375408,4.4358435,4.405364,4.403745,4.4506726,4.386712,4.446041,4.376271,4.454806,4.4847484,4.4334927,4.443373,4.4342556,4.426495,4.421371,4.427585,4.4447093,4.40617,4.4657016,4.5272474,4.4515924,4.496342,,,,,,,,,,,,,,,,,,,
