Emotion,Eccentricity,Reaction Time (Median)
E1,0,0.3607802000187803
E1,4,0.2842235000002802
E1,8,0.3002650999696925
E1,16,0.2801973000005091
E2,0,0.46273719999692275
E2,4,0.4120503499593724
E2,8,0.4258954499964602
E2,16,0.374906099983491
E3,0,0.42722082500014835
E3,4,0.40102205000584945
E3,8,0.4103652999910991
E3,16,0.4018432000002576
